City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,hithadhoo,-0.6,73.0833,27.64,82,100,10.86,MV,1683168176
156,ndola,-12.9587,28.6366,13.08,85,15,0.45,ZM,1683168557
157,ratnagiri,16.9833,73.3,27.75,68,77,1.92,IN,1683168558
158,gilgit,35.9221,74.3087,15.66,41,10,0.77,PK,1683168559
159,nemuro,43.3236,145.575,11.23,71,71,2.99,JP,1683168260
160,kathu,7.9178,98.3332,31.9,69,60,3.22,TH,1683168561
161,preobrazheniye,42.9019,133.9064,17.35,56,68,5.89,RU,1683168562
162,praia da vitoria,38.7333,-27.0667,17.09,77,20,4.85,PT,1683168201
163,rikaze,29.25,88.8833,9.32,33,23,1.34,CN,1683168397
164,keflavik,64.0049,-22.5624,3.95,87,100,7.2,IS,1683168298
165,prince rupert,54.3161,-130.3201,9.05,76,0,8.23,CA,1683168227
166,sheridan,44.8333,-106.9173,19.21,48,0,1.54,US,1683168564
167,nar'yan-mar,67.6713,53.087,0.27,99,100,4.44,RU,1683168175
168,robat karim,35.4846,51.0829,10.92,57,0,10.29,IR,1683168565
169,merritt island,28.5392,-80.672,23.01,47,0,3.09,US,1683168395
170,rongelap,11.1635,166.8941,27.19,76,100,8.32,MH,1683168331
171,severo-yeniseyskiy,60.3725,93.0408,2.86,84,100,3.38,RU,1683168088
172,vila velha,-20.3297,-40.2925,21.64,93,40,1.54,BR,1683168567
173,island harbour,50.724,-1.2758,11.1,79,100,2.24,GB,1683168568
174,nova vicosa,-17.8919,-39.3719,23.69,87,0,2.59,BR,1683167912
175,prince george,53.9166,-122.753,23.69,21,0,4.12,CA,1683168569
176,champerico,14.3,-91.9167,29.28,75,65,2.66,GT,1683168223
177,dudinka,69.4058,86.1778,-0.21,94,82,3.79,RU,1683168306
178,al ghayzah,16.2079,52.176,27.81,81,85,0.42,YE,1683168571
179,ola,59.5833,151.2833,6.75,72,100,1.31,RU,1683168571
180,jianshui,23.6363,102.8264,28.86,34,1,6.37,CN,1683168572
181,palmer,42.1584,-72.3287,9.36,81,100,3.09,US,1683168398
182,college,64.8569,-147.8028,7.55,54,75,4.12,US,1683168119
183,san lorenzo de esmeraldas,1.2883,-78.8369,25.78,88,100,0.29,EC,1683168573
184,ormond-by-the-sea,29.3491,-81.0665,21.67,55,0,3.6,US,1683168574
185,miquelon,47.0975,-56.3814,5,95,100,8.08,PM,1683168575
186,sandersville,32.9815,-82.8101,13.82,55,0,2.7,US,1683168575
187,kerikeri,-35.2268,173.9474,19.39,96,100,0.45,NZ,1683168576
188,port macquarie,-31.4333,152.9167,21.61,33,0,5.48,AU,1683168576
189,protaras,35.0125,34.0583,17.95,58,6,5.43,CY,1683168577
190,flying fish cove,-10.4217,105.6791,28.82,83,75,4.12,CX,1683168578
191,badger,64.8,-147.5333,7.51,55,75,4.12,US,1683168067
192,maitum,6.0392,124.4986,30.87,65,80,2.22,PH,1683168579
193,doka,13.5167,35.7667,28.54,12,63,1.88,SD,1683168579
194,bel ombre,-4.6167,55.4167,28.91,74,40,6.17,SC,1683168353
195,langepas,61.2544,75.2124,7.71,85,100,4.71,RU,1683168580
196,la grande,45.3246,-118.0877,21.87,55,100,0.79,US,1683168348
197,kapuskasing,49.4169,-82.4331,4.05,93,40,1.03,CA,1683168121
198,acapulco de juarez,16.8634,-99.8901,28.9,74,40,2.57,MX,1683167890
199,recani,31.2846,-4.2688,24.85,18,88,0.99,MA,1683168583
200,el colorado,-26.3081,-59.3729,14.81,90,100,0.55,AR,1683168583
201,buka,40.8108,69.1986,13.5,32,40,4.73,UZ,1683168584
202,okhotsk,59.3833,143.3,2.39,63,100,0.82,RU,1683168207
203,srivardhan,18.0333,73.0167,28.19,65,100,1.25,IN,1683168585
204,newman,37.3138,-121.0208,15.01,82,100,0.89,US,1683168266
